date,year,month,gp_patients,gp_insurance,gp_cash,im_patients,im_insurance,im_cash,dental_patients,dental_insurance,dental_cash,total_patients,total_revenue,pcr_patients,pcr_cash,final_revenue,month_sin,month_cos,quarter,revenue_lag_1,revenue_lag_2,revenue_lag_3,revenue_lag_12,patients_lag_1,revenue_ma_3,revenue_ma_6,revenue_ma_12,revenue_std_3,patients_ma_3,revenue_per_patient,total_insurance,total_cash,insurance_ratio,gp_revenue,im_revenue,dental_revenue,gp_share,im_share,dental_share,revenue_yoy_change,patients_yoy_change,revenue_mom_change
2022-05-01,2022,5,609,36477.61,5538.0,198,20652.17,1080,157,13705.5,11400,964,88853.28,47,1109.0,89962.28,0.49999999999999994,-0.8660254037844387,2,68198.68,115851.01,97419.76,98137.77,737.0,91337.32333333332,100658.05833333333,115859.21916666668,23855.904860927636,926.6666666666666,93.32186721991701,70835.28,18018.0,0.7972162648356932,42015.61,21732.17,25105.5,0.47286504223591974,0.2445848932082192,0.28255006455586107,-0.08330625405488636,0.4740061162079511,0.3191205460281637
2022-06-01,2022,6,907,61877.59,4780.0,131,14913.36,120,126,19814.4,8930,1164,110435.35,182,3632.0,114067.35,1.2246467991473532e-16,-1.0,2,89962.28,68198.68,115851.01,122755.28,964.0,90742.77,97435.83,115135.22499999999,22944.29330731931,955.0,97.99600515463918,96605.35,13830.0,0.8747683599499617,66657.59,15033.36,28744.4,0.6035892492757075,0.13612815099512973,0.2602825997291628,-0.07077438950080187,0.24892703862660945,0.26794641042890427
2022-07-01,2022,7,862,57563.52,4665.0,260,28320.87,1380,95,7009.2,8260,1212,107198.59,182,3696.0,110894.59,-0.4999999999999998,-0.8660254037844388,3,114067.35,89962.28,68198.68,105508.9,1164.0,104974.73999999999,99398.94499999999,115584.03249999999,13097.59779284346,1113.3333333333333,91.49718646864686,92893.59,14305.0,0.8665560806350158,62228.52,29700.87,15269.2,0.5804975606488854,0.27706399869625153,0.1424384406548631,0.051044888156354606,0.3333333333333333,-0.02781479538185124
2022-08-01,2022,8,1098,73983.98,4045.0,73,6216.84,440,151,26371.2,8610,1322,119667.02,73,2068.0,121735.02,-0.8660254037844384,-0.5000000000000004,3,110894.59,114067.35,89962.28,126050.71,1212.0,115565.65333333334,103451.48833333333,115224.39166666666,5573.366604237652,1232.6666666666667,92.08397881996974,106572.01999999999,13095.0,0.8905713537447493,78028.98,6656.84,34981.2,0.6520508323847288,0.055628025165162465,0.2923211424501086,-0.0342377286093827,0.2822502424830262,0.0977543629495362
2022-09-01,2022,9,967,61765.82,5590.0,244,20948.91,1820,107,24774.1,8090,1318,122988.83,64,1621.0,124609.83,-1.0,-1.8369701987210297e-16,3,121735.02,110894.59,114067.35,129898.42,1322.0,119079.81333333334,104911.29166666667,114783.67583333334,7232.879364155861,1284.0,94.54463581183612,107488.82999999999,15500.0,0.8739722948823888,67355.82,22768.91,32864.1,0.5476580271557995,0.18512990163415652,0.26721207121004403,-0.04071327426461382,0.25285171102661597,0.02361530806829454
2022-10-01,2022,10,1022,57637.97,4465.0,271,24286.7,270,132,38602.0,8610,1425,133871.67,30,1111.0,134982.67,-0.8660254037844386,0.5000000000000001,4,124609.83,121735.02,110894.59,145097.48,1318.0,127109.17333333334,116041.95666666667,113940.77500000001,6968.507405035312,1355.0,94.7246807017544,120526.67,13345.0,0.9003149807573178,62102.97,24556.7,47212.0,0.4638992700994915,0.18343462810316774,0.35266610179734065,-0.06971044569485285,0.2966333030027298,0.08324254996576122
2022-11-01,2022,11,1008,53506.4,4340.0,201,14770.11,525,131,40143.2,7415,1340,120699.71,107,3168.0,123867.71,-0.5000000000000004,0.8660254037844384,4,134982.67,124609.83,121735.02,157051.49,1425.0,127820.07,121692.86166666668,111175.46,6214.081959034549,1361.0,92.43858955223881,108419.71,12280.0,0.8982599046841123,57846.4,15295.11,47558.2,0.4792588151205997,0.12672035417483604,0.3940208307045642,-0.21129236023166661,0.3631739572736521,-0.08234360751643159
2022-12-01,2022,12,911,47840.15,3700.0,410,31224.86,2664,151,61011.8,7530,1472,153970.81,41,1085.0,155055.81,-2.4492935982947064e-16,1.0,4,123867.71,134982.67,124609.83,133400.72,1340.0,137968.73,128524.27166666668,112980.05083333334,15807.01778151714,1412.3333333333333,105.33682744565218,140076.81,13894.0,0.9097621165985942,51540.15,33888.86,68541.8,0.334739747098817,0.2200992512801615,0.44516100162102157,0.16233113284545989,0.6229327453142227,0.25178555412060166
2023-01-01,2023,1,854,55081.29,3236.0,422,46559.26,2446,92,24135.68,7220,1368,138678.23,66,1625.0,140303.23,0.49999999999999994,0.8660254037844387,1,155055.81,123867.71,134982.67,99115.9,1472.0,139742.25,133425.71166666667,116412.32833333332,15601.615920243621,1393.3333333333333,102.56084064327486,125776.23000000001,12902.0,0.9069644889468231,58317.29,49005.26,31355.68,0.4205223126946457,0.35337384966623814,0.2261038376391161,0.41554715237413997,0.5815028901734104,-0.09514367762162532
2023-02-01,2023,2,856,49229.59,2985.0,321,56202.29,1780,108,20028.8,9650,1285,139875.68,22,388.0,140263.68,0.8660254037844386,0.5000000000000001,1,140303.23,155055.81,123867.71,97419.76,1368.0,145207.57333333333,136513.82166666668,119982.65499999998,8528.846061023329,1375.0,109.15461478599221,125460.68000000001,14415.0,0.8969442007359679,52214.59,57982.29,29678.8,0.37329284118583017,0.41452731454102676,0.21217984427314313,0.4397867537345606,0.4552661381653454,-0.00028188944759160187
2023-03-01,2023,3,830,45133.58,3215.0,288,51281.45,470,130,22754.7,9790,1248,132644.73,13,325.0,132969.73,1.0,6.123233995736766e-17,1,140263.68,140303.23,155055.81,115851.01,1285.0,137845.54666666666,137907.13833333334,121409.21500000001,4222.627401965805,1300.3333333333333,106.54625801282052,119169.73,13475.0,0.8984128506273863,48348.58,51751.45,32544.7,0.3644968028507427,0.3901508186567231,0.24535237849253413,0.14776496122045044,0.1566265060240964,-0.052001701367025185
2023-04-01,2023,4,645,32952.54,2130.0,252,24435.32,910,18,232.0,2070,915,62729.86,0,0.0,62729.86,0.8660254037844387,-0.49999999999999983,2,132969.73,140263.68,140303.23,68198.68,1248.0,111987.7566666667,125865.00333333336,120953.48,42814.19991858578,1149.3333333333333,68.55722404371585,57619.86,5110.0,0.9185395918307485,35082.54,25345.32,2302.0,0.5592638019597047,0.4040391609354779,0.036697037104817386,-0.0801895285949815,0.24151967435549526,-0.5282395474518901
2023-05-01,2023,5,871,47626.06,2455.0,234,28489.4,2785,185,29194.0,13640,1290,124189.46,0,0.0,124189.46,0.49999999999999994,-0.8660254037844387,2,62729.86,132969.73,140263.68,89962.28,915.0,106629.68333333335,125918.62833333334,123805.745,38270.99622222591,1151.0,96.2708992248062,105309.45999999999,18880.0,0.8479742161693914,50081.06,31274.4,42834.0,0.4032633687271045,0.25182813420720246,0.344908497065693,0.3804614556234014,0.3381742738589212,0.9797503134870699
2023-06-01,2023,6,856,57714.58,4042.0,195,24997.9,1610,121,14615.8,11704,1172,114684.28,0,0.0,114684.28,1.2246467991473532e-16,-1.0,2,124189.46,62729.86,132969.73,114067.35,1290.0,100534.53333333334,119190.04,123857.15583333334,33082.95794042802,1125.6666666666667,97.85348122866894,97328.28000000001,17356.0,0.8486627809844559,61756.58,26607.9,26319.8,0.5384921106885792,0.23201000171950334,0.22949788759191755,0.005408471398695534,0.006872852233676976,-0.07653773516689748
2023-07-01,2023,7,1210,85123.0,3165.0,272,31859.53,1100,136,18077.6,11855,1618,151180.13,0,0.0,151180.13,-0.4999999999999998,-0.8660254037844388,3,114684.28,124189.46,62729.86,110894.59,1172.0,130017.95666666668,121002.85666666667,127214.28416666668,18933.179787099507,1360.0,93.43642150803461,135060.13,16120.0,0.8933722308612911,88288.0,32959.53,29932.6,0.5839920894366211,0.21801496003476117,0.19799295052861773,0.3632777757688631,0.334983498349835,0.31822888019177525
2023-08-01,2023,8,1453,94959.85,5090.0,79,8211.2,945,101,17656.7,7255,1633,134117.75,0,0.0,134117.75,-0.8660254037844384,-0.5000000000000004,3,151180.13,114684.28,124189.46,121735.02,1618.0,133327.3866666667,119978.53500000002,128246.17833333334,18260.757718523997,1474.3333333333333,82.12966932026944,120827.75,13290.0,0.9009079707943206,100049.85,9156.2,24911.7,0.7459851511078884,0.06826985988059,0.1857449890115216,0.10171871660266697,0.23524962178517397,-0.11286126027276207
2023-09-01,2023,9,1368,89969.0,11031.0,165,16721.21,1695,143,17301.12,12200,1676,148917.33,0,0.0,148917.33,-1.0,-1.8369701987210297e-16,3,134117.75,151180.13,114684.28,124609.83,1633.0,144738.40333333332,122636.46833333332,130271.80333333333,9267.080116203537,1642.3333333333333,88.85282219570405,123991.32999999999,24926.0,0.8326185407702381,101000.0,18416.21,29501.12,0.6782286520984496,0.12366733945605929,0.1981040084454912,0.19506888019990065,0.2716236722306525,0.11034766091736543
2023-10-01,2023,10,1389,67809.91,15511.0,204,21843.68,1125,142,20292.08,11095,1735,137676.67,0,0.0,137676.67,-0.8660254037844386,0.5000000000000001,4,148917.33,134117.75,151180.13,134982.67,1676.0,140237.25,135127.60333333333,130496.30333333334,7724.915500923029,1681.3333333333333,79.35254755043228,109945.67,27731.0,0.7985788006057961,83320.91,22968.68,31387.08,0.6051926590031557,0.16683058938017603,0.22797675161666822,0.01995811758650203,0.21754385964912282,-0.07548255129204892
